,순위,제목,가수,앨범,likes,월
0,17,혼술하고 싶은 밤,벤,혼술하고 싶은 밤,52824,1월
0,14,I'm Not Cool,현아,I’m Not Cool,43264,2월
0,22,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각),46544,3월
0,19,Flu,아이유,IU 5th Album 'LILAC',69310,4월
0,25,그냥 안아달란 말야,다비치,그냥 안아달란 말야,48258,5월
0,12,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",MSG워너비 TOP 8 경연곡,65501,6월
0,21,하루만 더,빅마마,하루만 더,59970,7월
0,24,하루만 더,빅마마,하루만 더,59970,8월
0,28,하루만 더,빅마마,하루만 더,59970,9월
0,26,가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4),55086,10월
0,21,TROUBLE (Prod. Slom),"Don Mills, Northfacegawd, sokodomo, Khakii (카키), 에이체스 (A-Chess)",쇼미더머니 10 Episode 1,39807,11월
0,23,매일 크리스마스 (Everyday Christmas),다비치,매일 크리스마스 (Everyday Christmas),28716,12월
