,순위,제목,가수,앨범,likes,월
0,1,취중고백,김민석 (멜로망스),취중고백,153424,1월
0,1,취중고백,김민석 (멜로망스),취중고백,153424,2월
0,1,INVU,태연 (TAEYEON),INVU - The 3rd Album,132637,3월
0,1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),288255,4월
0,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,127753,5월
0,1,LOVE DIVE,IVE (아이브),LOVE DIVE,219102,6월
0,1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,122360,7월
0,1,Attention,NewJeans,NewJeans 1st EP 'New Jeans',190388,8월
0,1,After LIKE,IVE (아이브),After LIKE,205693,9월
0,1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),135429,10월
0,1,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',241217,11월
